,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
0,Yukon,GMC,Automatic,Saudi,Full,2014,8.0,80000,120000
1,Optima,Kia,Automatic,Saudi,Semi Full,2015,2.4,220000,42000
2,CX3,Mazda,Automatic,Saudi,Semi Full,2019,2.0,25000,58000
3,Cayenne S,Porsche,Automatic,Saudi,Full,2012,4.8,189000,85000
4,Sonata,Hyundai,Automatic,Saudi,Full,2016,2.4,155,48000
5,Avalon,Toyota,Automatic,Saudi,Standard,2016,3.5,110864,81500
6,C300,Chrysler,Automatic,Saudi,Full,2013,5.7,200,55000
7,Land Cruiser,Toyota,Automatic,Saudi,Full,2011,4.6,79000,145000
8,LS,Lexus,Automatic,Saudi,Full,2008,4.6,299000,38000
9,FJ,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,140000
10,Land Cruiser,Toyota,Automatic,Saudi,Full,2019,4.6,71000,200000
11,Tucson,Hyundai,Automatic,Saudi,Standard,2018,2.0,85000,65000
12,Sunny,Nissan,Manual,Saudi,Standard,2011,1.4,290,7000
13,Pajero,Mitsubishi,Automatic,Saudi,Full,2018,3.5,74715,76000
14,Azera,Hyundai,Automatic,Saudi,Full,2013,3.0,284000,32000
15,Focus,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,98000,23000
16,5,MG,Automatic,Saudi,Semi Full,2021,1.5,3400,42000
17,Spark,Chevrolet,Automatic,Saudi,Semi Full,2017,1.4,108,20000
18,Pathfinder,Nissan,Automatic,Saudi,Semi Full,2002,3.3,550000,10000
19,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,204000,23000
20,ML,Mercedes,Automatic,Saudi,Semi Full,2010,3.5,139240,45000
21,Corolla,Toyota,Automatic,Saudi,Semi Full,2013,1.6,296,30000
22,Tahoe,Chevrolet,Automatic,Other,Semi Full,2017,6.2,105920,149000
23,A,Mercedes,Automatic,Other,Standard,2021,2.0,10000,179000
24,Altima,Nissan,Automatic,Saudi,Full,2011,2.5,18500,22000
25,Tahoe,Chevrolet,Automatic,Saudi,Full,2010,5.3,292000,55000
26,Expedition,Ford,Automatic,Saudi,Standard,2013,5.4,270000,49500
27,Senta fe,Hyundai,Automatic,Gulf Arabic,Full,2015,3.3,350000,52000
28,Liberty,Jeep,Automatic,Saudi,Semi Full,2012,3.7,247000,25000
29,X,BMW,Automatic,Saudi,Full,2015,2.0,92000,72000
30,Land Cruiser Pickup,Toyota,Manual,Saudi,Standard,2018,4.0,98000,105000
31,VTC,Nissan,Manual,Saudi,Semi Full,2016,4.8,307801,99000
32,Malibu,Chevrolet,Automatic,Saudi,Standard,2020,1.5,62000,57000
33,The 5,BMW,Automatic,Saudi,Standard,2019,2.5,38000,140000
34,Patrol,Nissan,Automatic,Saudi,Full,2010,4.0,208000,72000
35,Sonata,Hyundai,Automatic,Saudi,Full,2020,2.5,11000,110000
36,Grand Cherokee,Jeep,Automatic,Saudi,Semi Full,2014,3.6,245000,55000
37,Camry,Toyota,Automatic,Saudi,Semi Full,2001,9.0,150000,15000
38,Previa,Toyota,Automatic,Gulf Arabic,Full,2015,2.4,156000,56500
39,FJ,Toyota,Automatic,Saudi,Full,2015,4.0,228000,90000
40,MKZ,Others,Automatic,Saudi,Semi Full,2013,3.7,98100,71500
41,Datsun,Nissan,Manual,Saudi,Semi Full,2015,2.0,182000,29000
42,Hilux,Toyota,Manual,Saudi,Semi Full,2016,2.7,210800,62000
43,Yukon,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,88000,141000
44,Edge,Ford,Automatic,Saudi,Full,2011,3.5,70000,60000
45,6,Mazda,Automatic,Saudi,Standard,2021,2.5,115,93000
46,Innova,Toyota,Automatic,Saudi,Standard,2018,2.7,91440,68000
47,Navara,Nissan,Manual,Saudi,Semi Full,2015,2.0,45000,50000
48,Senta fe,Hyundai,Automatic,Other,Semi Full,2016,3.3,50100,69000
49,G80,Genesis,Automatic,Saudi,Semi Full,2019,3.8,35449,121500
50,Carnival,Kia,Automatic,Saudi,Semi Full,2016,3.3,180,38000
51,Corolla,Toyota,Automatic,Saudi,Standard,2017,1.6,66200,51000
52,Camaro,Chevrolet,Automatic,Other,Full,2018,3.6,89000,109000
53,Accord,Honda,Automatic,Saudi,Semi Full,2014,4.0,349000,48000
54,Malibu,Chevrolet,Automatic,Saudi,Full,2016,3.6,105000,47000
55,C300,Chrysler,Automatic,Saudi,Full,2017,5.7,130000,88000
56,Sunny,Nissan,Automatic,Saudi,Semi Full,2011,1.6,212000,15000
57,Sunny,Nissan,Automatic,Saudi,Standard,2014,1.5,139740,20000
58,Azera,Hyundai,Automatic,Other,Semi Full,2017,3.5,256,47000
59,Tahoe,Chevrolet,Automatic,Gulf Arabic,Full,2017,5.3,73000,142000
60,Datsun,Nissan,Manual,Saudi,Standard,2016,2.4,866,53000
61,Innova,Toyota,Automatic,Saudi,Semi Full,2015,2.7,216,39000
62,Taurus,Ford,Automatic,Saudi,Semi Full,2016,2.0,148000,58000
63,Avalon,Toyota,Automatic,Saudi,Semi Full,2014,3.5,188257,78500
64,Camry,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,117000,60000
65,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,211257,60000
66,Elantra,Hyundai,Automatic,Saudi,Standard,2017,2.0,135000,35000
67,Flex,Ford,Automatic,Saudi,Standard,2015,3.6,290000,30000
68,S,Mercedes,Automatic,Saudi,Full,2007,3.0,270000,45000
69,Cerato,Kia,Automatic,Saudi,Standard,2019,1.6,43632,45500
70,Furniture,Toyota,Manual,Saudi,Standard,2009,2.7,530500,33000
71,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2017,5.3,153000,125000
72,Murano,Nissan,Automatic,Saudi,Standard,2008,1.0,300,9500
73,S,Mercedes,Automatic,Other,Semi Full,2010,5.5,228000,63000
74,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,126000,63000
75,Land Cruiser 70,Toyota,Manual,Saudi,Full,2015,2.6,180000,80000
76,Expedition,Ford,Automatic,Saudi,Semi Full,2014,5.4,108000,60000
77,Altima,Nissan,Automatic,Saudi,Standard,2017,2.5,122000,44000
78,3,Mazda,Automatic,Saudi,Standard,2018,1.8,53000,54000
79,Altima,Nissan,Automatic,Saudi,Standard,2017,2.5,181000,37000
80,Pick up,Others,Manual,Saudi,Semi Full,2020,2.4,13800,35000
81,Charger,Dodge,Automatic,Saudi,Standard,2018,3.6,79000,79000
82,H6,Others,Automatic,Saudi,Full,2020,1.5,9000,70000
83,Hilux,Toyota,Manual,Saudi,Full,2017,2.7,168000,81000
84,Corolla,Toyota,Automatic,Saudi,Full,2016,1.6,86500,48000
85,Hiace,Toyota,Manual,Saudi,Standard,2017,2.7,192692,68500
86,Taurus,Ford,Automatic,Saudi,Standard,2019,2.0,48000,80000
87,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,38920,33500
88,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,32000,33000
89,Fusion,Ford,Automatic,Saudi,Standard,2012,2.5,219000,14500
90,Aveo,Chevrolet,Manual,Other,Standard,2011,1.2,102000,11000
91,Sonata,Hyundai,Automatic,Saudi,Full,2020,2.5,3000,118000
92,Corolla,Toyota,Automatic,Saudi,Standard,2013,1.6,334000,36500
93,Cerato,Kia,Automatic,Saudi,Standard,2016,1.6,34000,32000
94,CX9,Mazda,Automatic,Saudi,Full,2016,2.5,229000,63000
95,Expedition,Ford,Automatic,Saudi,Semi Full,2014,5.4,151000,65000
96,Flex,Ford,Automatic,Saudi,Standard,2014,3.5,201000,57000
97,Optima,Kia,Automatic,Saudi,Full,2017,2.4,130,48000
98,Azera,Hyundai,Automatic,Saudi,Standard,2018,3.0,147000,75000
99,Camry,Toyota,Automatic,Saudi,Standard,2017,2.5,101732,61500
100,Camry,Toyota,Automatic,Gulf Arabic,Semi Full,2010,2.5,145,25000
101,Yaris,Toyota,Automatic,Saudi,Semi Full,2016,1.5,9800,32000
102,Sierra,GMC,Automatic,Saudi,Standard,2011,5.3,231000,45000
103,Durango,Dodge,Automatic,Saudi,Semi Full,2013,5.7,487100,35000
104,Corolla,Toyota,Automatic,Saudi,Standard,2017,1.6,92412,44500
105,Pick up,Others,Manual,Saudi,Full,2016,2.4,128,35000
106,Pajero,Mitsubishi,Automatic,Other,Full,2014,3.5,200000,39000
107,Charger,Dodge,Automatic,Saudi,Semi Full,2018,3.6,124000,99000
108,Sunny,Nissan,Automatic,Saudi,Standard,2018,1.5,79968,29000
109,CT-S,Cadillac,Automatic,Saudi,Full,2010,3.6,240000,32000
110,Sonata,Hyundai,Automatic,Saudi,Standard,2019,2.4,63000,60000
111,Carnival,Kia,Automatic,Saudi,Standard,2015,2.4,132000,37000
112,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2015,5.3,71000,125000
113,Sylvian Bus,Nissan,Manual,Saudi,Full,2018,3.0,3000,107000
114,ES,Lexus,Automatic,Other,Full,2016,3.5,103000,102000
115,Navigator,Others,Automatic,Saudi,Full,2013,5.7,27700,50000
116,Sierra,GMC,Automatic,Saudi,Standard,2016,5.3,205544,99500
117,Camry,Toyota,Automatic,Saudi,Standard,2017,2.5,180000,58000
118,ES,Lexus,Automatic,Gulf Arabic,Semi Full,2018,3.5,28000,122000
119,ES,Lexus,Automatic,Saudi,Semi Full,2013,2.5,239,65000
120,Opirus,Kia,Automatic,Other,Semi Full,2006,3.5,25500,14000
121,Yaris,Toyota,Automatic,Saudi,Standard,2014,1.4,201000,23000
122,Senta fe,Hyundai,Automatic,Saudi,Full,2009,2.7,260000,21000
123,Taurus,Ford,Automatic,Other,Semi Full,2018,3.5,107000,77000
124,Patrol,Nissan,Automatic,Saudi,Standard,2016,4.8,4700,88000
125,Taurus,Ford,Automatic,Saudi,Semi Full,2015,2.5,172000,52000
126,Expedition,Ford,Automatic,Saudi,Standard,2015,3.5,110790,77000
127,The 7,BMW,Automatic,Saudi,Full,2014,2.0,116000,100000
128,Camry,Toyota,Automatic,Saudi,Standard,2016,2.5,63000,58000
129,Creta,Hyundai,Automatic,Saudi,Standard,2020,1.6,16576,59500
130,CX9,Mazda,Automatic,Other,Full,2016,2.5,104000,105000
131,Expedition,Ford,Automatic,Gulf Arabic,Semi Full,2014,5.4,132000,45000
132,Yaris,Toyota,Automatic,Saudi,Standard,2017,1.4,125000,30000
133,Elantra,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,41912,59500
134,Camry,Toyota,Automatic,Saudi,Full,2020,2.4,2000,119000
